x,y,z,gene
922,1274,162,bc2
924,1239,162,bc2
925,1205,162,bc2
926,1223,162,bc2
934,1222,162,bc2
935,1269,162,bc2
937,1236,162,bc2
939,1286,162,bc2
940,1278,162,bc2
946,1276,162,bc2
947,1223,162,bc2
948,1205,162,bc2
951,1229,162,bc2
951,1271,162,bc2
955,1221,162,bc2
959,1226,162,bc2
959,1257,162,bc2
959,1271,162,bc2
962,1263,162,bc2
962,1270,162,bc2
967,1235,162,bc2
896,1271,163,bc2
902,1231,163,bc2
901,1252,163,bc2
905,1261,163,bc2
912,1226,163,bc2
913,1241,163,bc2
918,1219,163,bc2
918,1254,163,bc2
919,1246,163,bc2
919,1260,163,bc2
921,1264,163,bc2
923,1227,163,bc2
929,1264,163,bc2
930,1256,163,bc2
932,1243,163,bc2
934,1209,163,bc2
934,1277,163,bc2
942,1244,163,bc2
944,1230,163,bc2
947,1258,163,bc2
950,1235,163,bc2
952,1261,163,bc2
955,1226,163,bc2
957,1265,163,bc2
964,1249,163,bc2
965,1256,163,bc2
1276,1255,164,bc2
893,1262,164,bc2
896,1248,164,bc2
901,1266,164,bc2
906,1243,164,bc2
905,1266,164,bc2
912,1267,164,bc2
916,1276,164,bc2
918,1250,164,bc2
921,1236,164,bc2
922,1256,164,bc2
925,1255,164,bc2
931,1220,165,bc2
936,1244,164,bc2
937,1266,164,bc2
939,1273,164,bc2
942,1254,164,bc2
942,1213,164,bc2
943,1241,164,bc2
944,1233,164,bc2
948,1271,164,bc2
952,1266,164,bc2
954,1247,164,bc2
954,1272,164,bc2
956,1270,164,bc2
902,1256,165,bc2
909,1241,165,bc2
914,1235,165,bc2
914,1245,165,bc2
920,1241,165,bc2
921,1217,165,bc2
921,1246,165,bc2
923,1268,165,bc2
927,1240,165,bc2
926,1248,165,bc2
934,1254,165,bc2
934,1262,165,bc2
936,1235,165,bc2
936,1247,165,bc2
946,1255,165,bc2
947,1211,165,bc2
949,1227,165,bc2
956,1233,165,bc2
958,1229,165,bc2
908,1233,166,bc2
909,1263,166,bc2
916,1243,166,bc2
934,1269,166,bc2
943,1229,166,bc2
951,1251,166,bc2
955,1227,166,bc2
959,1244,166,bc2
958,1254,166,bc2
907,1261,167,bc2
917,1227,167,bc2
918,1255,167,bc2
924,1239,167,bc2
925,1235,167,bc2
933,1223,167,bc2
934,1231,167,bc2
940,1241,167,bc2
948,1246,167,bc2
951,1233,167,bc2
953,1245,167,bc2
942,1246,168,bc2
954,1237,168,bc2
1180,1285,179,bc2
1185,1293,180,bc2
1192,1291,180,bc2
1221,1283,181,bc2
1225,1282,181,bc2
1231,1278,181,bc2
1289,1227,181,bc2
1129,1226,185,bc2
1196,1147,187,bc2
1182,1154,191,bc2
1191,1155,191,bc2
1175,1152,191,bc2
1187,1157,201,bc2
946,1279,235,bc2
956,1282,235,bc2
962,1280,238,bc2
1068,1364,5,bc2
1037,1420,48,bc2
1049,1398,48,bc2
738,1307,69,bc2
748,1312,67,bc2
765,1313,71,bc2
769,1309,75,bc2
769,1298,76,bc2
865,1546,92,bc2
915,1458,98,bc2
918,1448,99,bc2
672,1632,103,bc2
722,1560,110,bc2
1031,1945,109,bc2
893,1302,115,bc2
903,1857,117,bc2
925,1314,116,bc2
937,1295,116,bc2
994,1319,116,bc2
898,1855,117,bc2
912,1296,117,bc2
932,1303,117,bc2
886,1873,118,bc2
899,1305,118,bc2
934,1298,118,bc2
960,1301,118,bc2
1039,1901,118,bc2
1054,1916,118,bc2
886,1323,120,bc2
922,1297,119,bc2
929,1305,119,bc2
1047,1914,119,bc2
877,1321,120,bc2
893,1295,120,bc2
903,1300,120,bc2
912,1295,120,bc2
920,1303,120,bc2
932,1302,120,bc2
892,1324,123,bc2
893,1331,121,bc2
897,1301,121,bc2
897,1855,122,bc2
905,1333,123,bc2
904,1297,121,bc2
911,1305,121,bc2
919,1295,121,bc2
920,1924,123,bc2
928,1302,121,bc2
967,1295,121,bc2
913,1337,122,bc2
918,1299,122,bc2
920,1343,122,bc2
937,1361,122,bc2
950,1295,122,bc2
948,1342,122,bc2
975,1305,122,bc2
844,1680,123,bc2
875,1337,123,bc2
917,1322,123,bc2
930,1306,123,bc2
945,1312,123,bc2
960,1302,125,bc2
994,1299,123,bc2
873,1309,124,bc2
879,1294,124,bc2
906,1864,124,bc2
945,1331,126,bc2
944,1305,124,bc2
959,1887,124,bc2
973,1300,124,bc2
886,1297,125,bc2
900,1311,126,bc2
929,1374,127,bc2
924,1300,128,bc2
931,1932,125,bc2
952,1886,125,bc2
847,1678,128,bc2
915,1376,126,bc2
920,1360,128,bc2
984,1294,127,bc2
788,1841,128,bc2
848,1686,127,bc2
885,1296,127,bc2
887,1304,128,bc2
977,1304,128,bc2
881,1347,129,bc2
899,1294,129,bc2
911,1337,130,bc2
905,1349,128,bc2
907,1306,128,bc2
941,1300,128,bc2
942,1296,128,bc2
1054,1941,129,bc2
789,1818,129,bc2
800,1853,131,bc2
883,1356,129,bc2
888,1295,129,bc2
894,1333,129,bc2
901,1345,129,bc2
904,1321,129,bc2
912,1323,129,bc2
941,1374,129,bc2
953,1295,129,bc2
761,1849,131,bc2
901,1327,130,bc2
904,1302,130,bc2
939,1297,131,bc2
949,1304,130,bc2
964,1301,130,bc2
756,1841,131,bc2
765,1843,131,bc2
805,1836,132,bc2
892,1328,131,bc2
896,1381,131,bc2
906,1312,133,bc2
904,1295,133,bc2
913,1329,132,bc2
927,1548,132,bc2
928,1364,131,bc2
